Unnamed: 0,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,disbursement_method,debt_settlement_flag,issue_year,issue_month
256,12000.0,12000.0,12000.0,60.0,12.88,272.31,C,C2,General / sales Manager,10.0,MORTGAGE,90000.0,Not Verified,n,debt_consolidation,Debt consolidation,928xx,CA,12.62,0.0,Apr-2002,660.0,664.0,0.0,11.0,1.0,8275.0,30.6,30.0,w,0.0,1.0,Individual,0.0,0.0,22151.0,1.0,3.0,2.0,3.0,2.0,13876.0,73.0,1.0,2.0,5130.0,48.0,27000.0,1.0,3.0,0.0,5.0,2215.0,7632.0,48.4,0.0,0.0,132.0,164.0,8.0,2.0,4.0,36.0,21.0,0.0,5.0,7.0,5.0,11.0,9.0,8.0,17.0,7.0,11.0,0.0,0.0,0.0,3.0,100.0,20.0,1.0,0.0,46018.0,22151.0,14800.0,19018.0,N,Cash,N,2015,12
2493,15000.0,15000.0,15000.0,36.0,9.8,482.61,B,B3,Teacher,6.0,OWN,45000.0,Verified,n,debt_consolidation,Debt consolidation,230xx,VA,19.44,1.0,Jul-2002,665.0,669.0,0.0,11.0,2.0,17109.0,54.3,25.0,w,0.0,1.0,Individual,0.0,210.0,21718.0,2.0,2.0,0.0,0.0,68.0,4609.0,54.0,4.0,7.0,4663.0,54.0,31500.0,1.0,1.0,3.0,7.0,1974.0,11678.0,47.2,0.0,0.0,115.0,161.0,1.0,1.0,0.0,11.0,6.0,0.0,3.0,7.0,4.0,8.0,10.0,9.0,15.0,7.0,11.0,0.0,0.0,0.0,4.0,96.0,25.0,2.0,0.0,40000.0,21718.0,22100.0,8500.0,N,Cash,N,2015,12
602,4200.0,4200.0,4200.0,36.0,7.49,130.63,A,A4,Senior Technology Specialist ,10.0,MORTGAGE,90000.0,Source Verified,n,credit_card,Credit card refinancing,850xx,AZ,24.85,0.0,Aug-2001,725.0,729.0,1.0,15.0,0.0,15478.0,33.5,38.0,f,0.0,1.0,Individual,0.0,0.0,392502.0,3.0,4.0,1.0,3.0,7.0,70560.0,73.0,4.0,5.0,4870.0,60.0,46200.0,0.0,6.0,3.0,8.0,28036.0,24875.0,31.5,0.0,0.0,152.0,172.0,3.0,3.0,7.0,6.0,4.0,3.0,3.0,6.0,5.0,11.0,14.0,9.0,17.0,6.0,15.0,0.0,0.0,0.0,5.0,92.1,20.0,0.0,0.0,503269.0,86038.0,36300.0,97069.0,N,Cash,N,2015,12
6840,9375.0,9375.0,9375.0,36.0,17.27,335.51,D,D3,Director of Education,3.0,MORTGAGE,36000.0,Verified,n,debt_consolidation,Debt consolidation,137xx,NY,25.4,2.0,Mar-1992,670.0,674.0,1.0,13.0,1.0,3514.0,32.0,26.0,w,0.0,1.0,Individual,0.0,0.0,145885.0,0.0,1.0,1.0,1.0,9.0,8432.0,89.0,2.0,4.0,1548.0,32.0,10850.0,1.0,0.0,3.0,7.0,11221.0,1070.0,63.0,0.0,0.0,82.0,285.0,9.0,7.0,5.0,9.0,2.0,0.0,5.0,9.0,10.0,11.0,2.0,9.0,20.0,8.0,13.0,,0.0,2.0,4.0,85.0,60.0,1.0,0.0,163840.0,12319.0,5350.0,9500.0,N,Cash,N,2015,12
7463,24000.0,24000.0,24000.0,36.0,7.89,750.86,A,A5,Pediatric oncologist on staff,4.0,MORTGAGE,240000.0,Source Verified,n,debt_consolidation,Debt consolidation,917xx,CA,8.62,1.0,Mar-1980,690.0,694.0,0.0,12.0,2.0,9617.0,37.4,44.0,w,0.0,1.0,Individual,0.0,0.0,682092.0,1.0,4.0,1.0,2.0,5.0,78025.0,70.0,0.0,0.0,7327.0,60.0,25700.0,1.0,0.0,1.0,2.0,56841.0,10673.0,40.7,1.0,0.0,169.0,429.0,104.0,5.0,2.0,109.0,12.0,10.0,1.0,3.0,2.0,13.0,15.0,7.0,26.0,4.0,12.0,0.0,0.0,1.0,1.0,75.0,0.0,0.0,2.0,730850.0,87642.0,18000.0,97150.0,N,Cash,N,2015,12
782,3600.0,3600.0,3600.0,36.0,11.48,118.68,B,B5,Environmental Technician,3.0,MORTGAGE,55000.0,Source Verified,n,debt_consolidation,Debt consolidation,441xx,OH,14.1,0.0,May-2005,720.0,724.0,0.0,16.0,1.0,3279.0,58.6,27.0,w,0.0,1.0,Individual,0.0,0.0,224525.0,1.0,11.0,0.0,1.0,22.0,129056.0,105.0,1.0,2.0,1925.0,102.0,5600.0,8.0,7.0,3.0,3.0,14033.0,1892.0,62.2,0.0,0.0,127.0,51.0,2.0,2.0,1.0,2.0,3.0,0.0,3.0,4.0,3.0,5.0,20.0,4.0,6.0,4.0,15.0,0.0,0.0,0.0,1.0,96.0,33.3,1.0,0.0,259426.0,132335.0,5000.0,125167.0,N,Cash,N,2015,12
9931,35000.0,35000.0,35000.0,36.0,17.57,1257.8,D,D4,Community Health Nurse,10.0,MORTGAGE,100000.0,Verified,n,debt_consolidation,Debt consolidation,207xx,MD,23.73,0.0,Feb-2002,670.0,674.0,2.0,16.0,0.0,12272.0,61.1,35.0,w,0.0,1.0,Joint App,0.0,0.0,402194.0,1.0,3.0,0.0,3.0,16.0,45561.0,63.0,3.0,4.0,2018.0,63.0,20100.0,0.0,7.0,2.0,8.0,25137.0,700.0,91.9,0.0,0.0,166.0,130.0,3.0,3.0,4.0,3.0,3.0,0.0,5.0,9.0,5.0,6.0,11.0,12.0,20.0,10.0,16.0,0.0,0.0,0.0,3.0,94.3,80.0,0.0,0.0,443183.0,57833.0,8600.0,71863.0,N,Cash,Y,2015,12
5710,35000.0,35000.0,35000.0,60.0,13.99,814.21,C,C4,manager,10.0,MORTGAGE,190000.0,Verified,n,debt_consolidation,Debt consolidation,599xx,MT,13.18,0.0,Oct-1998,675.0,679.0,0.0,9.0,0.0,38454.0,91.1,25.0,w,0.0,1.0,Individual,0.0,0.0,298228.0,0.0,1.0,0.0,0.0,38.0,20493.0,,0.0,0.0,11144.0,91.0,42200.0,0.0,0.0,0.0,0.0,37279.0,3746.0,91.1,0.0,0.0,161.0,206.0,47.0,38.0,4.0,52.0,,0.0,6.0,6.0,7.0,14.0,5.0,7.0,16.0,6.0,9.0,0.0,0.0,0.0,0.0,96.0,83.3,0.0,0.0,353106.0,58947.0,42200.0,48406.0,N,Cash,N,2015,12
8914,13625.0,13625.0,13625.0,36.0,13.18,460.27,C,C3,,,OWN,31000.0,Verified,n,debt_consolidation,Debt consolidation,334xx,FL,21.8,3.0,May-1992,665.0,669.0,1.0,21.0,0.0,22036.0,13.8,44.0,w,1.0,1.0,Individual,1.0,0.0,22036.0,1.0,0.0,0.0,0.0,,0.0,,2.0,6.0,15508.0,14.0,160000.0,0.0,0.0,1.0,6.0,1296.0,111748.0,14.4,0.0,0.0,,283.0,5.0,5.0,0.0,5.0,2.0,1.0,4.0,5.0,10.0,22.0,0.0,21.0,43.0,6.0,21.0,0.0,0.0,1.0,2.0,93.2,0.0,0.0,0.0,160000.0,22036.0,130500.0,0.0,N,Cash,N,2015,12
7965,11200.0,11200.0,11200.0,60.0,13.67,258.7,C,C4,Account Manager,2.0,MORTGAGE,60000.0,Verified,n,home_improvement,Home improvement,281xx,NC,21.08,0.0,Jul-1999,675.0,679.0,1.0,9.0,1.0,13761.0,75.2,32.0,w,0.0,1.0,Individual,0.0,0.0,49580.0,3.0,3.0,1.0,3.0,4.0,35819.0,87.0,3.0,5.0,4896.0,83.0,18300.0,1.0,7.0,2.0,8.0,5509.0,2059.0,76.6,0.0,0.0,143.0,197.0,4.0,4.0,3.0,4.0,4.0,0.0,2.0,5.0,3.0,5.0,11.0,6.0,18.0,5.0,9.0,0.0,0.0,0.0,4.0,100.0,33.3,1.0,0.0,59572.0,49580.0,8800.0,41272.0,N,Cash,N,2015,12
2176,2800.0,2800.0,2800.0,36.0,10.78,91.38,B,B4,Manager,10.0,RENT,150000.0,Source Verified,n,debt_consolidation,Debt consolidation,113xx,NY,8.66,1.0,Oct-2003,680.0,684.0,0.0,10.0,0.0,9231.0,65.9,27.0,w,0.0,1.0,Individual,0.0,9286.0,89644.0,1.0,2.0,1.0,1.0,8.0,80413.0,95.0,1.0,4.0,5522.0,86.0,14000.0,1.0,0.0,2.0,5.0,9960.0,1575.0,85.1,0.0,0.0,123.0,146.0,5.0,5.0,0.0,16.0,8.0,3.0,3.0,4.0,3.0,8.0,6.0,8.0,20.0,4.0,10.0,0.0,0.0,0.0,2.0,91.3,66.7,0.0,0.0,100795.0,89644.0,10600.0,86795.0,N,Cash,N,2015,12
6955,21000.0,21000.0,21000.0,36.0,7.91,657.2,A,A5,Special Education Teacher,10.0,MORTGAGE,70000.0,Not Verified,n,credit_card,Credit card refinancing,786xx,TX,28.09,0.0,Nov-1983,720.0,724.0,0.0,16.0,0.0,35337.0,66.9,26.0,f,0.0,1.0,Individual,0.0,0.0,226751.0,0.0,3.0,0.0,0.0,32.0,15047.0,35.0,0.0,0.0,14121.0,53.0,52800.0,0.0,2.0,1.0,0.0,14172.0,13963.0,71.7,0.0,0.0,135.0,385.0,25.0,25.0,1.0,25.0,2.0,0.0,8.0,8.0,10.0,14.0,6.0,12.0,19.0,8.0,16.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,280656.0,50384.0,49300.0,43053.0,N,Cash,N,2015,12
6234,15000.0,15000.0,15000.0,36.0,13.44,508.6,C,C3,Police Officer,10.0,RENT,196000.0,Source Verified,n,credit_card,Credit card refinancing,115xx,NY,12.74,0.0,May-2003,695.0,699.0,4.0,12.0,0.0,12530.0,53.1,24.0,w,0.0,1.0,Individual,0.0,0.0,76044.0,3.0,4.0,2.0,2.0,3.0,63514.0,70.0,2.0,6.0,3523.0,66.0,23600.0,2.0,4.0,7.0,8.0,6337.0,4870.0,72.0,0.0,0.0,143.0,151.0,2.0,2.0,0.0,11.0,0.0,0.0,5.0,5.0,5.0,8.0,10.0,8.0,14.0,5.0,12.0,0.0,0.0,0.0,4.0,79.2,40.0,0.0,0.0,114600.0,76044.0,17400.0,91000.0,N,Cash,N,2015,12
6611,35000.0,35000.0,35000.0,36.0,14.85,1210.72,C,C5,Cpa,7.0,RENT,200000.0,Source Verified,n,debt_consolidation,Debt consolidation,949xx,CA,17.42,0.0,Oct-1995,710.0,714.0,1.0,10.0,0.0,49195.0,94.1,14.0,w,0.0,1.0,Individual,0.0,0.0,83299.0,3.0,2.0,0.0,1.0,21.0,34104.0,15.0,3.0,3.0,19935.0,72.0,52300.0,0.0,1.0,1.0,4.0,9255.0,1921.0,96.2,0.0,0.0,68.0,242.0,3.0,3.0,0.0,3.0,3.0,0.0,6.0,7.0,6.0,8.0,3.0,8.0,11.0,7.0,10.0,0.0,0.0,0.0,3.0,100.0,83.3,0.0,0.0,112989.0,83299.0,50600.0,60689.0,N,Cash,N,2015,12
4001,8500.0,8500.0,8500.0,36.0,6.99,262.42,A,A3,Office Admin,10.0,OWN,60000.0,Not Verified,n,debt_consolidation,Debt consolidation,275xx,NC,12.38,0.0,Feb-2002,690.0,694.0,1.0,9.0,0.0,37859.0,52.0,17.0,w,0.0,1.0,Individual,0.0,0.0,51884.0,2.0,1.0,1.0,1.0,9.0,14025.0,88.0,2.0,5.0,3091.0,52.0,72600.0,0.0,0.0,1.0,6.0,5764.0,2850.0,61.0,0.0,0.0,137.0,166.0,5.0,5.0,1.0,22.0,0.0,0.0,4.0,8.0,5.0,7.0,3.0,8.0,14.0,7.0,9.0,,0.0,0.0,3.0,82.0,50.0,0.0,0.0,88600.0,22583.0,11400.0,16000.0,N,Cash,N,2015,12
3899,10000.0,10000.0,10000.0,36.0,8.49,315.63,B,B1,Material Handler Supervisor,3.0,MORTGAGE,51000.0,Source Verified,n,debt_consolidation,Debt consolidation,347xx,FL,13.06,0.0,Oct-2003,680.0,684.0,1.0,14.0,0.0,15565.0,70.1,18.0,w,0.0,1.0,Individual,0.0,0.0,307656.0,2.0,8.0,0.0,0.0,92.0,31891.0,107.0,1.0,1.0,8762.0,91.0,22200.0,1.0,2.0,4.0,2.0,23666.0,2313.0,83.1,0.0,0.0,146.0,125.0,1.0,1.0,1.0,43.0,1.0,0.0,2.0,3.0,2.0,2.0,10.0,5.0,7.0,3.0,14.0,0.0,0.0,0.0,2.0,100.0,50.0,0.0,0.0,312275.0,47456.0,13700.0,29875.0,N,Cash,N,2015,12
173,10500.0,10500.0,10500.0,36.0,8.49,331.42,B,B1,Strategic Account Manager,4.0,MORTGAGE,60000.0,Not Verified,n,debt_consolidation,Debt consolidation,250xx,WV,15.39,1.0,May-1998,685.0,689.0,0.0,13.0,1.0,10760.0,62.6,19.0,w,0.0,1.0,Individual,0.0,0.0,107112.0,2.0,4.0,0.0,0.0,38.0,10578.0,46.0,1.0,2.0,3415.0,53.0,17200.0,0.0,0.0,1.0,3.0,8926.0,3707.0,53.1,0.0,0.0,107.0,139.0,1.0,1.0,5.0,1.0,5.0,0.0,2.0,4.0,3.0,5.0,5.0,6.0,8.0,5.0,13.0,0.0,0.0,0.0,2.0,84.2,0.0,0.0,1.0,132044.0,21338.0,7900.0,23221.0,N,Cash,N,2015,12
1020,3000.0,3000.0,3000.0,36.0,7.49,93.31,A,A4,Personal assitant,10.0,MORTGAGE,86000.0,Verified,n,medical,Medical expenses,949xx,CA,1.94,0.0,Apr-1977,785.0,789.0,1.0,20.0,0.0,6910.0,7.1,37.0,w,0.0,1.0,Individual,0.0,0.0,515673.0,3.0,0.0,0.0,2.0,13.0,0.0,,2.0,5.0,2607.0,7.0,143800.0,1.0,0.0,6.0,8.0,27141.0,122532.0,8.4,0.0,0.0,19.0,324.0,2.0,2.0,3.0,2.0,2.0,0.0,6.0,7.0,10.0,13.0,2.0,19.0,29.0,7.0,20.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,654318.0,6910.0,129400.0,0.0,N,Cash,N,2015,12
6411,6500.0,6500.0,6500.0,36.0,10.78,212.13,B,B4,,,OWN,35000.0,Source Verified,n,debt_consolidation,Debt consolidation,114xx,NY,20.82,0.0,Sep-1987,705.0,709.0,1.0,19.0,0.0,16270.0,32.5,33.0,w,0.0,1.0,Individual,0.0,0.0,21591.0,5.0,1.0,1.0,1.0,6.0,5321.0,89.0,4.0,7.0,7323.0,39.0,50100.0,0.0,0.0,1.0,8.0,1200.0,25772.0,36.4,0.0,0.0,6.0,149.0,3.0,3.0,1.0,3.0,3.0,0.0,7.0,9.0,11.0,20.0,1.0,18.0,31.0,9.0,19.0,0.0,0.0,0.0,5.0,93.9,9.1,0.0,0.0,56100.0,21591.0,40500.0,6000.0,N,Cash,N,2015,12
8159,35000.0,35000.0,35000.0,36.0,11.22,1149.51,B,B5,Principal Dormant High School,10.0,MORTGAGE,125000.0,Source Verified,n,debt_consolidation,Debt consolidation,293xx,SC,24.66,0.0,Dec-1990,700.0,704.0,0.0,34.0,0.0,68214.0,72.4,57.0,f,0.0,1.0,Individual,0.0,0.0,405987.0,2.0,12.0,2.0,6.0,3.0,128862.0,76.0,0.0,6.0,12382.0,75.0,94200.0,0.0,0.0,1.0,12.0,11941.0,4314.0,92.3,0.0,0.0,155.0,300.0,17.0,3.0,3.0,17.0,12.0,0.0,10.0,18.0,10.0,17.0,21.0,21.0,32.0,18.0,34.0,0.0,0.0,0.0,2.0,100.0,90.0,0.0,0.0,494274.0,197076.0,55800.0,170232.0,N,Cash,N,2015,12
8175,9500.0,9500.0,9500.0,36.0,13.18,320.92,C,C3,GIS Analyst,3.0,RENT,57000.0,Source Verified,n,debt_consolidation,Debt consolidation,920xx,CA,17.75,0.0,Apr-2005,660.0,664.0,0.0,12.0,0.0,12354.0,98.8,23.0,w,0.0,1.0,Individual,0.0,123.0,68440.0,0.0,9.0,0.0,0.0,33.0,56086.0,97.0,0.0,1.0,5046.0,98.0,12500.0,0.0,0.0,0.0,1.0,5703.0,146.0,98.8,0.0,0.0,128.0,96.0,15.0,15.0,0.0,15.0,,0.0,3.0,3.0,3.0,3.0,19.0,3.0,4.0,3.0,12.0,0.0,0.0,0.0,0.0,95.5,100.0,0.0,0.0,70097.0,68440.0,12500.0,57597.0,N,Cash,N,2015,12
5860,7500.0,7500.0,7500.0,36.0,5.32,225.87,A,A1,Recruiter,2.0,RENT,112000.0,Source Verified,n,credit_card,Credit card refinancing,941xx,CA,6.24,0.0,Dec-2004,730.0,734.0,0.0,12.0,0.0,15159.0,25.7,28.0,w,0.0,1.0,Individual,0.0,0.0,26727.0,1.0,3.0,1.0,2.0,11.0,11568.0,65.0,1.0,4.0,5000.0,35.0,58900.0,0.0,3.0,0.0,6.0,2673.0,38100.0,16.8,0.0,0.0,99.0,132.0,2.0,2.0,0.0,13.0,,0.0,2.0,3.0,5.0,12.0,7.0,9.0,21.0,3.0,12.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,76676.0,26727.0,45800.0,17776.0,N,Cash,N,2015,12
